"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
"Front  Brake Hose pipe",63920719,,141.5,
"Gasket "," speedo pinion",B02000P050,,1442,
Gasket," G.B.Housing",BO20OOP020,,102,
"BUHDY TUBE RH (Tiger)",BO9O00V030,,67,
lychee,38314290,,171,
potato,212132,,50,
"Bundy Tube LH (Victory)",97103461,11101/11102/11103//7001,29,
Gasket," G.B Cover",72100265,,25,
Shoe,90471412,,14,
"Polo Shirt",53467102,,14,
Toothpaste,859875003032,,10,
tissue,8941161008066,,16,
T-shirt,93475396,,2,
T-shirt,93475396,,4,
T-shirt,93475396,,2,
"Test variant",81145830,,2,
TV,32703342,,8,
testvar,32081679,,1,
Napa,41930312,,18,
Napa,41930312,,3,
Napa,41930312,,2,
"CYLINDER AND PISTON ASSY KIT",435-107-14,,5,
"Bundy Tube LH (Victory)",97103461,,1,
